Registro,Boleta,,,,,,,,,,,
2020-10-15  11:55:12,607c8fa9d8f88a43045438ec,,,,,,,,,,,
2020-10-15  11:56:00,607c8fa9d8f88a43045436e2,,,,,,,,,,,
2020-10-15  11:56:04,607c8fa9d8f88a43045436db,,,,,,,,,,,
2020-10-15  11:56:44,607c8fa9d8f88a43045436e9,,,,,,,,,,,
2020-10-15  11:57:10,607c8fa9d8f88a430454375d,,,,,,,,,,,
2020-10-15  11:57:15,607c8fa9d8f88a430454389c,,,,,,,,,,,
2020-10-15  11:57:46,607c8fa9d8f88a43045438fa,,,,,,,,,,,
2020-10-15  12:02:26,607c8fa9d8f88a430454369e,,,,,,,,,,,
2020-10-15  12:02:55,607c8fa9d8f88a4304543822,,,,,,,,,,,
2020-10-15  12:02:55,607c8fa9d8f88a43045436af,,,,,,,,,,,
2020-10-15  12:04:52,607c8fa9d8f88a4304543641,,,,,,,,,,,
2020-10-15  12:06:34,607c8fa9d8f88a430454389a,,,,,,,,,,,
2020-10-15  12:11:38,607c8fa9d8f88a4304543988,,,,,,,,,,,
2020-10-15  12:13:22,607c8fa9d8f88a430454389b,,,,,,,,,,,
2020-10-15  12:17:41,607c8fa9d8f88a430454366b,,,,,,,,,,,
2020-10-15  12:19:02,607c8fa9d8f88a4304543643,,,,,,,,,,,
2020-10-15  12:22:52,607c8fa9d8f88a430454386d,,,,,,,,,,,
2020-10-15  12:27:14,607c8fa9d8f88a43045437d4,,,,,,,,,,,
2020-10-15  12:31:43,607c8fa9d8f88a430454363b,,,,,,,,,,,
2020-10-15  12:39:39,607c8fa9d8f88a4304543647,,,,,,,,,,,
2020-10-15  12:47:39,607c8fa9d8f88a4304543839,,,,,,,,,,,
2020-10-15  12:49:20,607c8fa9d8f88a43045436b1,,,,,,,,,,,
2020-10-15  13:01:09,607c8fa9d8f88a43045438a0,,,,,,,,,,,
2020-10-15  13:03:04,607c8fa9d8f88a43045438e8,,,,,,,,,,,
2020-10-15  13:03:46,607c8fa9d8f88a43045438ff,,,,,,,,,,,
2020-10-15  13:04:18,607c8fa9d8f88a43045438c2,,,,,,,,,,,
2020-10-15  13:04:42,607c8fa9d8f88a4304543967,,,,,,,,,,,
2020-10-15  13:14:10,607c8fa9d8f88a43045438f3,,,,,,,,,,,
2020-10-15  13:14:52,607c8fa9d8f88a43045438d7,,,,,,,,,,,
2020-10-15  13:21:32,607c8fa9d8f88a4304543765,,,,,,,,,,,
2020-10-15  13:28:40,607c8fa9d8f88a4304543922,,,,,,,,,,,
2020-10-15  13:52:56,607c8fa9d8f88a4304543978,,,,,,,,,,,
2020-10-15  14:04:33,607c8fa9d8f88a4304543822,,,,,,,,,,,
2020-10-15  14:29:46,607c8fa9d8f88a430454379a,,,,,,,,,,,
2020-10-15  14:49:50,607c8fa9d8f88a430454376b,,,,,,,,,,,
2020-10-15  14:50:27,607c8fa9d8f88a4304543755,,,,,,,,,,,
2020-10-15  14:51:14,607c8fa9d8f88a4304543754,,,,,,,,,,,
2020-10-15  14:51:37,607c8fa9d8f88a43045437a5,,,,,,,,,,,
2020-10-15  14:52:00,607c8fa9d8f88a43045437b9,,,,,,,,,,,
